timestamp_ms,sample_idx,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
0,0,0.020,0.010,1.001,0.00,0.00,0.00,25.0
20,1,0.080,0.015,0.990,0.10,0.00,0.05,25.0
40,2,0.140,0.020,0.985,0.15,0.02,0.07,25.1
60,3,0.090,0.022,1.010,0.10,0.01,0.05,25.1
80,4,0.030,0.018,1.020,0.05,0.00,0.02,25.1
100,5,-0.040,0.010,1.005,0.01,0.00,0.01,25.2
120,6,-0.100,0.002,0.995,-0.05,0.00,-0.02,25.2
140,7,-0.130,-0.006,0.990,-0.10,-0.01,-0.05,25.2
160,8,-0.070,-0.009,1.000,-0.06,-0.01,-0.03,25.3
180,9,-0.010,-0.005,1.015,-0.02,0.00,-0.01,25.3
